recipeID,quantity,unit,ingredient_NER,ingredient_Key_ingredient,rest of ingredient,metric_qty
866,1.0,lbs,shrimp,shrimp, cooked shrimp,0.453
866,2.0,cups,mayonnaise,mayonnaise, Best Foods mayonnaise,0.472
867,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
867,0.5,cups,cheese,cheese," cheese, grated",0.118
867,2.0,cups,chicken,chicken," cooked chicken, chopped",0.472
883,0.5,cups,onion,onion, chopped onion,0.118
883,10.0,ounces,spinach,spinach, pkg. frozen chopped spinach,0.28
886,10.0,ounces,broccoli,broccoli," pkg. chopped broccoli, thawed",0.28
886,8.0,ounces,cheese,cheese," cheese, grated",0.224
905,4.0,cups,potato,potato, frozen potato rounds (1/2 of a 30 oz. bag),0.944
905,1.0,ounces,broccoli,broccoli," pkg. frozen chopped broccoli, thawed",0.028
906,1.5,ounces,tuna,tuna," can tuna, drained and flaked (I use more tuna)",0.042
906,1.0,ounces,mushroom,mushroom," can mushroom pieces, drained",0.028
906,0.25,cups,onion,onion, chopped onion,0.059
914,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
914,0.5,cups,onion,onion, finely chopped onion,0.118
927,2.0,lbs,hamburger,hamburger, hamburger,0.906
927,1.0,cups,onion,onion, chopped onion,0.236
959,0.25,cups,onion,onion, chopped onion,0.059
959,1.0,cups,ham,ham, cubed ham,0.236
961,1.0,tablespoons,mayonnaise,mayonnaise, mayonnaise,0.014
961,1.0,lbs,shrimp,shrimp, cooked shrimp or crab flakes,0.453
968,3.0,tablespoons,mayonnaise,mayonnaise, mayonnaise,0.042
968,0.5,cups,buttermilk,buttermilk, buttermilk,0.118
969,1.75,ounces,salmon,salmon, can salmon,0.049
969,1.0,cups,chips,chips, unbroken potato chips,0.236
978,1.75,ounces,salmon,salmon, can salmon,0.049
978,1.0,tablespoons,onion,onion," onion, grated",0.014
988,1.0,lbs,hamburger,hamburger, hamburger,0.453
988,3.0,cups,cabbage,cabbage, shredded cabbage,0.708
995,7.0,ounces,macaroni,macaroni, cooked macaroni,0.196
995,13.0,ounces,ham,ham," can of Spam or ham, diced",0.364
999,1.0,cups,onion,onion, chopped onion,0.236
999,0.25,cups,mayonnaise,mayonnaise, mayonnaise,0.059
999,2.0,cups,cheese,cheese," shredded Southwestern Blend cheese (Pepperjack, Cheddar, Monterey Jack)",0.472
1014,1.0,lbs,pork,pork," pork, cubed",0.453
1014,1.0,teaspoons,mustard,mustard, mustard,0.005
1019,4.0,cups,broccoli,broccoli, chopped broccoli,0.944
1019,0.5,cups,onion,onion, chopped onion,0.118
1031,0.6666666666666666,cups,mayonnaise,mayonnaise, mayonnaise,0.15733333333333333
1031,1.0,tablespoons,mustard,mustard, Dijon mustard,0.014
1031,4.0,cups,chicken,chicken," cooked chicken, cooled",0.944
1048,0.5,cups,carrot,carrot, carrot slices,0.118
1048,0.25,cups,onion,onion, chopped onion,0.059
1076,2.0,cups,chicken,chicken," boiled chicken, cut into bite sizes",0.472
1076,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
1087,2.0,tablespoons,mustard,mustard, prepared mustard,0.028
1087,0.3333333333333333,cups,honey,honey, honey,0.07866666666666666
1101,1.0,cups,potato,potato, diced potato,0.236
1101,0.5,cups,onion,onion, diced onion,0.118
1118,1.0,cups,onion,onion, chopped onion,0.236
1118,1.0,ounces,pork,pork," can pork and beans, not drained",0.028
1147,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
1147,1.75,cups,macaroni,macaroni," macaroni, cooked and drained",0.413
1147,2.0,cups,broccoli,broccoli, cooked broccoli,0.472
1148,1.0,cups,cheese,cheese," cheese, grated",0.236
1148,0.5,cups,onion,onion," onion, minced",0.118
1181,2.0,cups,chicken,chicken, cooked chicken,0.472
1181,2.0,cups,chicken,chicken, cooked chicken,0.472
1194,1.0,cups,onion,onion, chopped onion,0.236
1194,2.0,lbs,bacon,bacon, cooked and crumbled bacon,0.906
1194,3.0,cups,mayonnaise,mayonnaise, mayonnaise,0.708
1202,1.0,cups,cheese,cheese, grated American processed cheese,0.236
1202,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
1204,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
1204,0.5,cups,onion,onion," onion, broccoli, cauliflower, tomatoes and mushrooms",0.118
1232,3.0,cups,broccoli,broccoli, chopped broccoli,0.708
1232,0.5,cups,cauliflower,cauliflower, finely chopped cauliflower,0.118
1233,0.3333333333333333,cups,mayonnaise,mayonnaise, mayonnaise,0.07866666666666666
1233,1.0,ounces,pineapple,pineapple," small can crushed pineapple, drained",0.028
1236,1.0,lbs,shrimp,shrimp," shrimp, cleaned",0.453
1236,1.0,cups,onion,onion, chopped onion,0.236
1251,4.0,cups,chicken,chicken, chopped cooked chicken,0.944
1251,0.25,cups,onion,onion, chopped onion,0.059
1268,1.0,cups,macaroni,macaroni," macaroni, cooked",0.236
1268,0.25,cups,onion,onion, chopped onion,0.059
1271,2.0,teaspoons,mustard,mustard, Dijon mustard,0.01
1271,2.5,ounces,tuna,tuna," cans tuna, drained and flaked",0.07
1271,2.0,cups,cucumber,cucumber, chopped cucumber,0.472
1272,2.0,cups,chicken,chicken, cooked and diced chicken,0.472
1272,1.0,ounces,broccoli,broccoli," pkg. chopped broccoli, thawed and drained",0.028
1290,2.0,lbs,pineapple,pineapple," cans pineapple chunks, drained",0.906
1290,1.3333333333333333,cups,cheese,cheese, grated sharp cheese,0.31466666666666665
1292,3.5,cups,chicken,chicken," cubed, baked chicken",0.826
1292,1.0,cups,onion,onion, finely chopped onion,0.236
1295,1.0,lbs,salmon,salmon," can salmon, flaked, remove bone and dark meat",0.453
1295,1.0,tablespoons,onion,onion, minced onion,0.014
1324,1.5,cups,honey,honey, honey,0.354
1324,1.0,cups,pineapple,pineapple, unsweetened crushed pineapple,0.236
1332,2.0,cups,macaroni,macaroni, macaroni,0.472
1332,8.0,ounces,cheese,cheese, cheese,0.224
1343,1.5,cups,ham,ham, diced ham,0.354
1343,0.5,cups,onion,onion, chopped onion,0.118
1351,2.0,cups,salmon,salmon," (1 lb. can) drained, canned salmon",0.472
1351,1.0,tablespoons,onion,onion, minced onion,0.014
1357,1.0,heads,broccoli,broccoli," broccoli, chopped",1.0
1357,0.5,heads,cauliflower,cauliflower," cauliflower, chopped",0.5
1366,1.0,ounces,pineapple,pineapple," can unsweetened pineapple chunks, undrained",0.028
1366,0.25,cups,honey,honey, honey,0.059
1372,0.5,lbs,sausage,sausage, sausage,0.2265
1372,0.5,cups,onion,onion, chopped onion/shallots,0.118
1378,3.0,tablespoons,onion,onion, chopped onion,0.042
1378,2.0,tablespoons,mustard,mustard, mustard,0.028
1378,1.0,lbs,pork,pork, 12 oz.) can pork and beans,0.453
1385,1.0,cups,buttermilk,buttermilk, buttermilk,0.236
1385,1.0,tablespoons,onion,onion, onion,0.014
1412,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
1412,2.0,tablespoons,onion,onion," onion, chopped",0.028
1420,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
1420,2.5,ounces,shrimp,shrimp," cans drained tiny, small or broken shrimp",0.07
1420,3.0,tablespoons,onion,onion, minced onion,0.042
1466,0.25,cups,onion,onion, minced onion,0.059
1466,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
1467,1.0,lbs,sausage,sausage, Hillshire Farm or Eckrich smoked sausage,0.453
1467,0.25,cups,onion,onion, chopped onion,0.059
1475,1.0,ounces,cereal,cereal, box Raisin Bran cereal,0.028
1475,1.0,quarts,buttermilk,buttermilk, buttermilk,0.947
1500,2.0,cups,cauliflower,cauliflower, cauliflower,0.472
1500,2.0,cups,broccoli,broccoli, broccoli,0.472
1501,2.0,cups,ham,ham," ham, cut in cubes",0.472
1501,0.5,cups,onion,onion, chopped onion,0.118
1512,3.0,tablespoons,mayonnaise,mayonnaise, mayonnaise,0.042
1512,1.0,teaspoons,mustard,mustard, Poupon mustard,0.005
1512,2.0,cups,macaroni,macaroni, cooked macaroni,0.472
1512,2.0,teaspoons,onion,onion, onion (if desired),0.01
1525,2.0,cups,chicken,chicken," diced, cooked chicken or turkey",0.472
1525,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
1547,1.0,lbs,hamburger,hamburger, hamburger,0.453
1547,16.0,ounces,cheese,cheese, small curd cottage cheese,0.448
1613,0.5,cups,sausage,sausage," mild sausage, uncooked",0.118
1613,1.0,cups,cheese,cheese, Parmesan grated cheese,0.236
1613,2.0,packages,spinach,spinach," frozen chopped spinach, cooked and well drained",1.0
1613,1.0,lbs,bacon,bacon, bacon,0.453
1621,1.0,ounces,macaroni,macaroni, pkg. raw macaroni,0.028
1621,2.0,cups,chicken,chicken," diced, cooked chicken",0.472
1633,2.0,cups,chicken,chicken, boiled chicken,0.472
1633,0.5,cups,onion,onion, chopped onion,0.118
1648,0.25,cups,mayonnaise,mayonnaise, mayonnaise,0.059
1648,1.0,teaspoons,onion,onion, minced onion,0.005
1664,1.0,heads,cauliflower,cauliflower," cauliflower, broken into pieces",1.0
1664,1.0,lbs,bacon,bacon," bacon, fried and crumbled",0.453
1664,2.0,cups,mayonnaise,mayonnaise, mayonnaise,0.472
1665,0.25,cups,onion,onion, diced onion,0.059
1665,2.5,cups,chicken,chicken, boiled chicken,0.59
1674,1.25,ounces,pineapple,pineapple, can pineapple chunks,0.035
1674,1.5,cups,chicken,chicken, cooked chicken breast chunks,0.354
1674,1.0,teaspoons,honey,honey, honey,0.005
1674,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
1716,0.6666666666666666,cups,mayonnaise,mayonnaise, mayonnaise,0.15733333333333333
1716,0.5,cups,shrimp,shrimp, shrimp,0.118
1733,1.0,lbs,bacon,bacon," bacon, cooked and crumbled",0.453
1733,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
1744,0.5,lbs,sausage,sausage," mild sausage, cooked",0.2265
1744,0.5,ounces,onion,onion, minced onion,0.014
1775,0.5,cups,onion,onion, chopped onion,0.118
1775,1.0,cups,chicken,chicken, cooked and diced chicken or turkey,0.236
1782,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
1782,1.0,teaspoons,onion,onion, grated onion,0.005
1784,2.0,tablespoons,olive,olive, olive or salad oil,0.028
1784,2.0,teaspoons,mustard,mustard, Dijon mustard,0.01
1792,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
1792,0.5,cups,broccoli,broccoli, chopped broccoli,0.118
1792,0.5,cups,cauliflower,cauliflower, chopped cauliflower,0.118
1792,0.75,cups,cheese,cheese," cheese, shredded",0.177
1842,1.0,tablespoons,mustard,mustard, prepared mustard,0.014
1842,3.0,tablespoons,mayonnaise,mayonnaise, Kraft mayonnaise or Miracle Whip salad dressing,0.042
1873,0.75,cups,buttermilk,buttermilk, buttermilk,0.177
1873,0.5,cups,pumpkin,pumpkin, canned pumpkin,0.118
1898,0.25,cups,onion,onion, chopped onion,0.059
1898,1.0,ounces,tuna,tuna, can tuna,0.028
1901,1.5,ounces,tuna,tuna, can tuna,0.042
1901,0.125,cups,onion,onion, chopped onion,0.0295
1904,0.3333333333333333,cups,onion,onion," onion, chopped",0.07866666666666666
1904,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
1905,1.0,ounces,tuna,tuna," can tuna, drained",0.028
1905,1.0,tablespoons,onion,onion, minced onion,0.014
1905,0.5,tablespoons,mustard,mustard, mustard,0.007
1918,2.5,ounces,pork,pork, cans pork and beans,0.07
1918,0.5,teaspoons,mustard,mustard, yellow prepared mustard,0.0025
1942,1.5,cups,ham,ham," ham, diced",0.354
1942,0.5,cups,onion,onion, chopped onion,0.118
1972,2.0,lbs,hamburger,hamburger, hamburger,0.906
1972,2.0,tablespoons,mustard,mustard, mustard,0.028
1973,3.0,lbs,chicken,chicken, frying chicken pieces*,1.359
1973,1.0,ounces,pineapple,pineapple," can pineapple chunks, drained (reserve 1 c. liquid)",0.028
1976,0.6666666666666666,cups,mayonnaise,mayonnaise, mayonnaise,0.15733333333333333
1976,1.0,lbs,sausage,sausage," sausage, browned and drained well with paper towels",0.453
1991,0.5,heads,cabbage,cabbage, cabbage,0.5
1991,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
1991,1.0,tablespoons,honey,honey, honey,0.014
1999,2.0,tablespoons,mayonnaise,mayonnaise, mayonnaise,0.028
1999,13.0,ounces,ham,ham, thin sliced ham,0.364
2002,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
2002,2.0,tablespoons,onion,onion, chopped onion,0.028
2023,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
2023,2.0,tablespoons,onion,onion, grated onion (optional),0.028
2072,0.5,lbs,bacon,bacon, diced bacon,0.2265
2072,16.0,ounces,pork,pork, can pork and beans (with liquid),0.448
2072,1.0,tablespoons,mustard,mustard, prepared mustard,0.014
2113,0.5,lbs,cheese,cheese," cheese (your choice; Cheddar or Jack, etc.)",0.2265
2113,2.0,cups,mayonnaise,mayonnaise, mayonnaise,0.472
2114,4.0,ounces,mushroom,mushroom, can mushroom,0.112
2114,0.75,cups,cheese,cheese, cheese (velveeta),0.177
2121,0.5,teaspoons,mustard,mustard, prepared mustard,0.0025
2121,1.0,teaspoons,onion,onion, grated onion,0.005
2124,0.5,cups,onion,onion, chopped onion,0.118
2124,3.0,cups,chicken,chicken," chicken, cooked and diced",0.708
2148,1.0,lbs,salmon,salmon, can salmon,0.453
2148,1.5,tablespoons,onion,onion, instant minced onion,0.021
2163,2.0,cups,shrimp,shrimp, small canned shrimp,0.472
2163,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
2163,0.25,cups,onion,onion," onion, chopped",0.059
2168,1.0,ounces,pork,pork, can pork and beans,0.028
2168,1.0,tablespoons,mustard,mustard, mustard,0.014
2177,3.0,teaspoons,mayonnaise,mayonnaise, mayonnaise,0.015
2177,1.0,teaspoons,mustard,mustard, mustard,0.005
2178,1.0,heads,cabbage,cabbage," cabbage, shredded",1.0
2178,0.25,cups,onion,onion, chopped onion,0.059
2208,1.0,tablespoons,onion,onion, grated onion,0.014
2208,0.25,cups,mayonnaise,mayonnaise, mayonnaise,0.059
2214,2.0,cups,macaroni,macaroni, raw macaroni,0.472
2214,1.0,cups,ham,ham, diced ham,0.236
2229,0.5,cups,tomato,tomato, chopped tomato,0.118
2229,0.25,cups,onion,onion, chopped onion,0.059
2233,2.0,packages,broccoli,broccoli, frozen chopped broccoli (10 oz.),1.0
2233,0.6666666666666666,cups,onion,onion, chopped onion,0.15733333333333333
2241,2.0,tablespoons,onion,onion, chopped onion,0.028
2241,0.5,cups,broccoli,broccoli, chopped broccoli,0.118
2241,0.5,cups,carrot,carrot, shredded carrot,0.118
2277,0.25,cups,onion,onion, chopped onion,0.059
2277,0.5,cups,cheese,cheese, Kraft Italian blend cheese,0.118
2279,2.0,tablespoons,mustard,mustard, mustard,0.028
2279,0.5,cups,mayonnaise,mayonnaise, Hellmann's mayonnaise,0.118
2313,1.0,bags,cauliflower,cauliflower, frozen cauliflower,0.5
2313,1.0,cups,onion,onion, chopped onion,0.236
2344,0.75,cups,onion,onion, chopped onion,0.177
2344,2.0,ounces,broccoli,broccoli, pkg. frozen chopped broccoli,0.056
2391,0.5,cups,onion,onion, onion,0.118
2391,1.0,tablespoons,mustard,mustard, mustard,0.014
2393,1.0,lbs,salmon,salmon, salmon,0.453
2393,0.25,cups,onion,onion," onion, chopped",0.059
2407,0.25,cups,buttermilk,buttermilk, buttermilk,0.059
2407,1.0,tablespoons,onion,onion, finely minced onion,0.014
2407,2.0,cups,buttermilk,buttermilk, buttermilk,0.472
2444,2.5,lbs,hamburger,hamburger, hamburger,1.1325
2444,0.5,lbs,sausage,sausage, sausage,0.2265
2444,1.0,cups,onion,onion," onion, fried in butter",0.236
2475,2.0,cups,carrot,carrot, grated carrot,0.472
2475,1.0,cups,pineapple,pineapple," crushed pineapple, slightly drained",0.236
2480,1.0,lbs,hamburger,hamburger, hamburger,0.453
2480,0.5,cups,onion,onion, chopped onion,0.118
2513,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
2513,3.0,tablespoons,honey,honey, honey,0.042
2513,2.0,tablespoons,mustard,mustard, Dijon mustard,0.028
2513,4.0,cups,chicken,chicken, cubed cooked chicken or ham,0.944
2522,0.5,lbs,bacon,bacon," bacon, cooked, drained and crumbled",0.2265
2522,1.0,ounces,pork,pork, can pork and beans,0.028
2558,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
2558,0.5,heads,cauliflower,cauliflower," fresh cauliflower, cut into florets and finely chopped",0.5
2580,1.0,heads,cauliflower,cauliflower, cauliflower,1.0
2580,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
2580,2.0,tablespoons,mustard,mustard, mustard,0.028
2609,1.0,cups,mayonnaise,mayonnaise, Hellmann's mayonnaise,0.236
2609,1.0,tablespoons,mustard,mustard, prepared mustard,0.014
2609,0.25,cups,onion,onion," onion, chopped",0.059
2614,1.0,lbs,hamburger,hamburger, hamburger,0.453
2614,0.25,cups,onion,onion, diced onion,0.059
2619,4.0,cups,chicken,chicken," cooked chicken, diced",0.944
2619,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
2619,1.0,teaspoons,onion,onion, minced onion,0.005
2624,0.25,cups,onion,onion, chopped onion,0.059
2624,1.5,ounces,tuna,tuna," can tuna, drained and broken into chunks",0.042
2662,1.0,heads,broccoli,broccoli, broccoli,1.0
2662,1.0,heads,cauliflower,cauliflower, cauliflower,1.0
2662,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
2664,1.0,cups,onion,onion, chopped onion,0.236
2664,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
2664,1.0,teaspoons,mustard,mustard, mustard,0.005
2706,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
2706,1.0,tablespoons,onion,onion, dried onion flakes,0.014
2718,0.5,cups,onion,onion, chopped onion,0.118
2718,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
2719,3.0,cups,macaroni,macaroni, cooked macaroni or 1 1/2 c. uncooked,0.708
2719,1.0,teaspoons,mustard,mustard, mustard,0.005
2726,1.0,tablespoons,onion,onion, grated onion,0.014
2726,0.5,lbs,ham,ham," thinly sliced ham, cut in serving pieces",0.2265
2727,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
2727,0.25,lbs,cheese,cheese," Blue cheese, crumbled",0.11325
2729,1.0,teaspoons,sauce,sauce, A.1. sauce,0.005
2729,2.0,teaspoons,onion,onion, chopped onion,0.01
2729,1.0,cups,chicken,chicken, chopped chicken,0.236
2752,2.0,quarts,bread,bread, crumbled day old bread,1.894
2752,1.0,cups,onion,onion, finely minced onion,0.236
2757,1.0,lbs,chicken,chicken, chicken,0.453
2757,1.0,lbs,bacon,bacon, bacon,0.453
2769,0.5,cups,onion,onion, chopped onion,0.118
2769,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
2778,1.25,cups,buttermilk,buttermilk, buttermilk or soured milk,0.295
2778,1.0,cups,banana,banana, mashed banana,0.236
2781,0.25,cups,onion,onion, frozen diced onion,0.059
2781,1.0,cups,mayonnaise,mayonnaise, real mayonnaise,0.236
